compute005
0
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
(1, 60, 50) 3
Box(1, 60, 50)
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/gym/envs/registration.py:14: PkgResourcesDeprecationWarning: Parameters to load are deprecated.  Call .resolve and .require separately.
  result = entry_point.load(False)
[33mWARN: gym.spaces.Box autodetected dtype as <class 'numpy.float32'>. Please provide explicit dtype.[0m
Worker ID: 0 | Episode :159 | Average episode reward : 0.000 | Episode length: 2734.0
Worker ID: 0 | Episode :160 | Average episode reward : 0.000 | Episode length: 2750.0
Worker ID: 0 | Episode :161 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :162 | Average episode reward : 0.000 | Episode length: 2740.0
Worker ID: 0 | Episode :163 | Average episode reward : 0.000 | Episode length: 2746.0
Worker ID: 0 | Episode :164 | Average episode reward : 0.000 | Episode length: 2714.0
Worker ID: 0 | Episode :165 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :166 | Average episode reward : 0.000 | Episode length: 2705.0
Worker ID: 0 | Episode :167 | Average episode reward : 0.000 | Episode length: 2728.0
Worker ID: 0 | Episode :168 | Average episode reward : 0.000 | Episode length: 2748.0
Worker ID: 0 | Episode :169 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :170 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :171 | Average episode reward : 0.000 | Episode length: 2742.0
Worker ID: 0 | Episode :172 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :173 | Average episode reward : 0.000 | Episode length: 2708.0
Worker ID: 0 | Episode :174 | Average episode reward : 0.000 | Episode length: 2767.0
Worker ID: 0 | Episode :175 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :176 | Average episode reward : 0.000 | Episode length: 2747.0
Worker ID: 0 | Episode :177 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :178 | Average episode reward : 0.000 | Episode length: 2711.0
Worker ID: 0 | Episode :179 | Average episode reward : 0.000 | Episode length: 2712.0
Worker ID: 0 | Episode :180 | Average episode reward : 0.000 | Episode length: 2703.0
Worker ID: 0 | Episode :181 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :182 | Average episode reward : 0.000 | Episode length: 2752.0
Worker ID: 0 | Episode :183 | Average episode reward : 0.000 | Episode length: 2745.0
Worker ID: 0 | Episode :184 | Average episode reward : 0.000 | Episode length: 2716.0
Worker ID: 0 | Episode :185 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :186 | Average episode reward : 0.000 | Episode length: 2731.0
Worker ID: 0 | Episode :187 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :188 | Average episode reward : 0.000 | Episode length: 2735.0
Worker ID: 0 | Episode :189 | Average episode reward : 0.000 | Episode length: 2767.0
Worker ID: 0 | Episode :190 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :191 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :192 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :193 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :194 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :195 | Average episode reward : 0.000 | Episode length: 2729.0
Worker ID: 0 | Episode :196 | Average episode reward : 0.000 | Episode length: 2736.0
Worker ID: 0 | Episode :197 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :198 | Average episode reward : 0.000 | Episode length: 2711.0
Worker ID: 0 | Episode :199 | Average episode reward : 0.000 | Episode length: 2711.0
Worker ID: 0 | Episode :200 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :201 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :202 | Average episode reward : 0.000 | Episode length: 2775.0
Worker ID: 0 | Episode :203 | Average episode reward : 0.000 | Episode length: 2741.0
Worker ID: 0 | Episode :204 | Average episode reward : 0.000 | Episode length: 2746.0
Worker ID: 0 | Episode :205 | Average episode reward : 0.000 | Episode length: 2704.0
Worker ID: 0 | Episode :206 | Average episode reward : 0.000 | Episode length: 2764.0
Worker ID: 0 | Episode :207 | Average episode reward : 0.000 | Episode length: 2756.0
Worker ID: 0 | Episode :208 | Average episode reward : 0.000 | Episode length: 2733.0
Worker ID: 0 | Episode :209 | Average episode reward : 0.000 | Episode length: 2730.0
Worker ID: 0 | Episode :210 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :211 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :212 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :213 | Average episode reward : 0.000 | Episode length: 2729.0
Worker ID: 0 | Episode :214 | Average episode reward : 0.000 | Episode length: 2716.0
Worker ID: 0 | Episode :215 | Average episode reward : 0.000 | Episode length: 2732.0
Worker ID: 0 | Episode :216 | Average episode reward : 0.000 | Episode length: 2735.0
Worker ID: 0 | Episode :217 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :218 | Average episode reward : 0.000 | Episode length: 2725.0
Worker ID: 0 | Episode :219 | Average episode reward : 0.000 | Episode length: 2723.0
Worker ID: 0 | Episode :220 | Average episode reward : 0.000 | Episode length: 2730.0
Worker ID: 0 | Episode :221 | Average episode reward : 0.000 | Episode length: 2744.0
Worker ID: 0 | Episode :222 | Average episode reward : 0.000 | Episode length: 2727.0
Worker ID: 0 | Episode :223 | Average episode reward : 0.000 | Episode length: 2718.0
Worker ID: 0 | Episode :224 | Average episode reward : 0.000 | Episode length: 2747.0
Worker ID: 0 | Episode :225 | Average episode reward : 0.000 | Episode length: 2720.0
Worker ID: 0 | Episode :226 | Average episode reward : 0.000 | Episode length: 2726.0
Worker ID: 0 | Episode :227 | Average episode reward : 0.000 | Episode length: 2724.0
Worker ID: 0 | Episode :228 | Average episode reward : 0.000 | Episode length: 2748.0
Worker ID: 0 | Episode :229 | Average episode reward : 0.000 | Episode length: 2711.0
Worker ID: 0 | Episode :230 | Average episode reward : 0.000 | Episode length: 2722.0
Worker ID: 0 | Episode :231 | Average episode reward : 0.000 | Episode length: 2714.0
