compute005
0
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Epoch: 07 | Batch: 200 | CrossEntropy-loss: 0.28977 | Correct: 1126/1280 | Difference: 0.6902625372721467
Epoch: 07 | Batch: 300 | CrossEntropy-loss: 0.29777 | Correct: 1115/1280 | Difference: 0.688413552769188
Epoch: 07 | Batch: 400 | CrossEntropy-loss: 0.29337 | Correct: 1130/1280 | Difference: 0.6860764024885467
Epoch: 07 | Batch: 500 | CrossEntropy-loss: 0.29075 | Correct: 1133/1280 | Difference: 0.6844689609801502
Epoch: 07 | Batch: 600 | CrossEntropy-loss: 0.29909 | Correct: 1121/1280 | Difference: 0.6837880896837715
Epoch: 07 | Batch: 700 | CrossEntropy-loss: 0.28238 | Correct: 1131/1280 | Difference: 0.6831475221230493
Epoch: 07 | Batch: 800 | CrossEntropy-loss: 0.29214 | Correct: 1130/1280 | Difference: 0.6824851135784812
Epoch: 07 | Batch: 900 | CrossEntropy-loss: 0.29588 | Correct: 1114/1280 | Difference: 0.6822519401816693
Epoch: 07 | Batch: 1000 | CrossEntropy-loss: 0.29506 | Correct: 1121/1280 | Difference: 0.6820291888188662
Epoch: 07 | Batch: 1100 | CrossEntropy-loss: 0.26893 | Correct: 1157/1280 | Difference: 0.6821178859657926
Epoch: 07 | Batch: 1200 | CrossEntropy-loss: 0.28716 | Correct: 1134/1280 | Difference: 0.6822616851705591
Epoch: 07 | Batch: 1300 | CrossEntropy-loss: 0.26800 | Correct: 1144/1280 | Difference: 0.6832231210629135
Epoch: 07 | Batch: 1400 | CrossEntropy-loss: 0.27932 | Correct: 1123/1280 | Difference: 0.6827583936158226
Epoch: 07 | Batch: 1500 | CrossEntropy-loss: 0.29165 | Correct: 1117/1280 | Difference: 0.6827882915105189

Epoch: 07 | Testing Accuracy: 448700/504607 (88.921%) | Historical Best: 88.921% 

