compute002
0
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:541: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint8 = np.dtype([("qint8", np.int8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:542: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint8 = np.dtype([("quint8", np.uint8, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:543: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint16 = np.dtype([("qint16", np.int16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:544: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_quint16 = np.dtype([("quint16", np.uint16, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:545: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  _np_qint32 = np.dtype([("qint32", np.int32, 1)])
/home/zihan/anaconda3/envs/exp/lib/python3.6/site-packages/tensorboard/compat/tensorflow_stub/dtypes.py:550: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  np_resource = np.dtype([("resource", np.ubyte, 1)])
Epoch: 03 | Batch: 2500 | CrossEntropy-loss: 0.33957 | Correct: 990/1280
Epoch: 03 | Batch: 2600 | CrossEntropy-loss: 0.36030 | Correct: 961/1280
Epoch: 03 | Batch: 2700 | CrossEntropy-loss: 0.34356 | Correct: 972/1280
Epoch: 03 | Batch: 2800 | CrossEntropy-loss: 0.34966 | Correct: 965/1280
Epoch: 03 | Batch: 2900 | CrossEntropy-loss: 0.34961 | Correct: 982/1280
Epoch: 03 | Batch: 3000 | CrossEntropy-loss: 0.33195 | Correct: 1010/1280

Epoch: 03 | Testing Accuracy: 755874/990020 (76.349%) | Historical Best: 76.349% 

Epoch: 04 | Batch: 000 | CrossEntropy-loss: 0.35458 | Correct: 950/1280
Epoch: 04 | Batch: 100 | CrossEntropy-loss: 0.33352 | Correct: 965/1280
Epoch: 04 | Batch: 200 | CrossEntropy-loss: 0.34146 | Correct: 997/1280
Epoch: 04 | Batch: 300 | CrossEntropy-loss: 0.36084 | Correct: 960/1280
Epoch: 04 | Batch: 400 | CrossEntropy-loss: 0.34212 | Correct: 978/1280
Epoch: 04 | Batch: 500 | CrossEntropy-loss: 0.33794 | Correct: 980/1280
Epoch: 04 | Batch: 600 | CrossEntropy-loss: 0.34738 | Correct: 983/1280
Epoch: 04 | Batch: 700 | CrossEntropy-loss: 0.34410 | Correct: 978/1280
Epoch: 04 | Batch: 800 | CrossEntropy-loss: 0.30989 | Correct: 1013/1280
Epoch: 04 | Batch: 900 | CrossEntropy-loss: 0.34529 | Correct: 977/1280
Epoch: 04 | Batch: 1000 | CrossEntropy-loss: 0.33791 | Correct: 967/1280
Epoch: 04 | Batch: 1100 | CrossEntropy-loss: 0.34339 | Correct: 974/1280
Epoch: 04 | Batch: 1200 | CrossEntropy-loss: 0.32194 | Correct: 987/1280
Epoch: 04 | Batch: 1300 | CrossEntropy-loss: 0.32875 | Correct: 984/1280
Epoch: 04 | Batch: 1400 | CrossEntropy-loss: 0.32922 | Correct: 982/1280
Epoch: 04 | Batch: 1500 | CrossEntropy-loss: 0.34385 | Correct: 978/1280
Epoch: 04 | Batch: 1600 | CrossEntropy-loss: 0.35747 | Correct: 961/1280
Epoch: 04 | Batch: 1700 | CrossEntropy-loss: 0.33482 | Correct: 983/1280
Epoch: 04 | Batch: 1800 | CrossEntropy-loss: 0.34283 | Correct: 976/1280
Epoch: 04 | Batch: 1900 | CrossEntropy-loss: 0.33478 | Correct: 980/1280
Epoch: 04 | Batch: 2000 | CrossEntropy-loss: 0.32217 | Correct: 1010/1280
Epoch: 04 | Batch: 2100 | CrossEntropy-loss: 0.33136 | Correct: 975/1280
Epoch: 04 | Batch: 2200 | CrossEntropy-loss: 0.34489 | Correct: 965/1280
Epoch: 04 | Batch: 2300 | CrossEntropy-loss: 0.33053 | Correct: 1004/1280
Epoch: 04 | Batch: 2400 | CrossEntropy-loss: 0.34008 | Correct: 988/1280
Epoch: 04 | Batch: 2500 | CrossEntropy-loss: 0.33616 | Correct: 985/1280
Epoch: 04 | Batch: 2600 | CrossEntropy-loss: 0.32693 | Correct: 979/1280
Epoch: 04 | Batch: 2700 | CrossEntropy-loss: 0.33664 | Correct: 986/1280
Epoch: 04 | Batch: 2800 | CrossEntropy-loss: 0.34415 | Correct: 984/1280
Epoch: 04 | Batch: 2900 | CrossEntropy-loss: 0.33701 | Correct: 983/1280
Epoch: 04 | Batch: 3000 | CrossEntropy-loss: 0.35450 | Correct: 981/1280

Epoch: 04 | Testing Accuracy: 763664/990020 (77.136%) | Historical Best: 77.136% 

Epoch: 05 | Batch: 000 | CrossEntropy-loss: 0.32845 | Correct: 992/1280
Epoch: 05 | Batch: 100 | CrossEntropy-loss: 0.32251 | Correct: 996/1280
Epoch: 05 | Batch: 200 | CrossEntropy-loss: 0.33254 | Correct: 980/1280
Epoch: 05 | Batch: 300 | CrossEntropy-loss: 0.32093 | Correct: 1008/1280
Epoch: 05 | Batch: 400 | CrossEntropy-loss: 0.32781 | Correct: 983/1280
Epoch: 05 | Batch: 500 | CrossEntropy-loss: 0.32846 | Correct: 980/1280
Epoch: 05 | Batch: 600 | CrossEntropy-loss: 0.34061 | Correct: 1001/1280
Epoch: 05 | Batch: 700 | CrossEntropy-loss: 0.33762 | Correct: 982/1280
Epoch: 05 | Batch: 800 | CrossEntropy-loss: 0.31157 | Correct: 1007/1280
Epoch: 05 | Batch: 900 | CrossEntropy-loss: 0.33375 | Correct: 983/1280
Epoch: 05 | Batch: 1000 | CrossEntropy-loss: 0.32105 | Correct: 991/1280
Epoch: 05 | Batch: 1100 | CrossEntropy-loss: 0.33221 | Correct: 989/1280
